year_month,total_wines
1980-01-01,15136.0
1980-02-01,16733.0
1980-03-01,20016.0
1980-04-01,17708.0
1980-05-01,18019.0
1980-06-01,19227.0
1980-07-01,22893.0
1980-08-01,23739.0
1980-09-01,21133.0
1980-10-01,22591.0
1980-11-01,26786.0
1980-12-01,29740.0
1981-01-01,15028.0
1981-02-01,17977.0
1981-03-01,20008.0
1981-04-01,21354.0
1981-05-01,19498.0
1981-06-01,22125.0
1981-07-01,25817.0
1981-08-01,28779.0
1981-09-01,20960.0
1981-10-01,22254.0
1981-11-01,27392.0
1981-12-01,29945.0
1982-01-01,16933.0
1982-02-01,17892.0
1982-03-01,20533.0
1982-04-01,23569.0
1982-05-01,22417.0
1982-06-01,22084.0
1982-07-01,26580.0
1982-08-01,27454.0
1982-09-01,24081.0
1982-10-01,23451.0
1982-11-01,28991.0
1982-12-01,31386.0
1983-01-01,16896.0
1983-02-01,20045.0
1983-03-01,23471.0
1983-04-01,21747.0
1983-05-01,25621.0
1983-06-01,23859.0
1983-07-01,25500.0
1983-08-01,30998.0
1983-09-01,24475.0
1983-10-01,23145.0
1983-11-01,29701.0
1983-12-01,34365.0
1984-01-01,17556.0
1984-02-01,22077.0
1984-03-01,25702.0
1984-04-01,22214.0
1984-05-01,26886.0
1984-06-01,23191.0
1984-07-01,27831.0
1984-08-01,35406.0
1984-09-01,23195.0
1984-10-01,25110.0
1984-11-01,30009.0
1984-12-01,36242.0
1985-01-01,18450.0
1985-02-01,21845.0
1985-03-01,26488.0
1985-04-01,22394.0
1985-05-01,28057.0
1985-06-01,25451.0
1985-07-01,24872.0
1985-08-01,33424.0
1985-09-01,24052.0
1985-10-01,28449.0
1985-11-01,33533.0
1985-12-01,37351.0
1986-01-01,19969.0
1986-02-01,21701.0
1986-03-01,26249.0
1986-04-01,24493.0
1986-05-01,24603.0
1986-06-01,26485.0
1986-07-01,30723.0
1986-08-01,34569.0
1986-09-01,26689.0
1986-10-01,26157.0
1986-11-01,32064.0
1986-12-01,38870.0
1987-01-01,21337.0
1987-02-01,19419.0
1987-03-01,23166.0
1987-04-01,28286.0
1987-05-01,24570.0
1987-06-01,24001.0
1987-07-01,33151.0
1987-08-01,24878.0
1987-09-01,26804.0
1987-10-01,28967.0
1987-11-01,33311.0
1987-12-01,40226.0
1988-01-01,20504.0
1988-02-01,23060.0
1988-03-01,23562.0
1988-04-01,27562.0
1988-05-01,23940.0
1988-06-01,24584.0
1988-07-01,34303.0
1988-08-01,25517.0
1988-09-01,23494.0
1988-10-01,29095.0
1988-11-01,32903.0
1988-12-01,34379.0
1989-01-01,16991.0
1989-02-01,21109.0
1989-03-01,23740.0
1989-04-01,25552.0
1989-05-01,21752.0
1989-06-01,20294.0
1989-07-01,29009.0
1989-08-01,25500.0
1989-09-01,24166.0
1989-10-01,26960.0
1989-11-01,31222.0
1989-12-01,38641.0
1990-01-01,14672.0
1990-02-01,17543.0
1990-03-01,25453.0
1990-04-01,32683.0
1990-05-01,22449.0
1990-06-01,22316.0
1990-07-01,27595.0
1990-08-01,25451.0
1990-09-01,25421.0
1990-10-01,25288.0
1990-11-01,32568.0
1990-12-01,35110.0
1991-01-01,16052.0
1991-02-01,22146.0
1991-03-01,21198.0
1991-04-01,19543.0
1991-05-01,22084.0
1991-06-01,23816.0
1991-07-01,29961.0
1991-08-01,26773.0
1991-09-01,26635.0
1991-10-01,26972.0
1991-11-01,30207.0
1991-12-01,38687.0
1992-01-01,16974.0
1992-02-01,21697.0
1992-03-01,24179.0
1992-04-01,23757.0
1992-05-01,25013.0
1992-06-01,24019.0
1992-07-01,30345.0
1992-08-01,24488.0
1992-09-01,25156.0
1992-10-01,25650.0
1992-11-01,30923.0
1992-12-01,37240.0
1993-01-01,17466.0
1993-02-01,19463.0
1993-03-01,24352.0
1993-04-01,26805.0
1993-05-01,25236.0
1993-06-01,24735.0
1993-07-01,29356.0
1993-08-01,31234.0
1993-09-01,22724.0
1993-10-01,28496.0
1993-11-01,32857.0
1993-12-01,37198.0
1994-01-01,13652.0
1994-02-01,22784.0
1994-03-01,23565.0
1994-04-01,26323.0
1994-05-01,23779.0
1994-06-01,27549.0
1994-07-01,29660.0
1994-08-01,23356.0
