"Month","Sales"
"2001-01-01",266.0
"2001-02-01",145.9
"2001-03-01",183.1
"2001-04-01",119.3
"2001-05-01",180.3
"2001-06-01",168.5
"2001-07-01",231.8
"2001-08-01",224.5
"2001-09-01",192.8
"2001-10-01",122.9
"2001-11-01",336.5
"2001-12-01",185.9
"2002-01-01",194.3
"2002-02-01",149.5
"2002-03-01",210.1
"2002-04-01",273.3
"2002-05-01",191.4
"2002-06-01",287.0
"2002-07-01",226.0
"2002-08-01",303.6
"2002-09-01",289.9
"2002-10-01",421.6
"2002-11-01",264.5
"2002-12-01",342.3
"2003-01-01",339.7
"2003-02-01",440.4
"2003-03-01",315.9
"2003-04-01",439.3
"2003-05-01",401.3
"2003-06-01",437.4
"2003-07-01",575.5
"2003-08-01",407.6
"2003-09-01",682.0
"2003-10-01",475.3
"2003-11-01",581.3
"2003-12-01",646.9
